"#TYPE","#SENSE","ENG","CMN","numeric pinyin","pinyin"
"#LANGUAGENAME",,"English","Chinese","numeric tonepy","pinyin"
"#INPUT-METHODS",,"british","chinese-tonepy",,"tone-pinyin-as-such"
"noun",,"drill",,,"zuan4"
"noun",,"bell",,,"ling2"
"noun",,"nail",,,"ding1"
"noun",,"money",,,"qian2"
"noun",,"clock",,,"zhong1"
"noun",,"lock",,,"suo3"
"noun",,"wok",,,"guo1"
"noun",,"spade",,,"chan3"
"noun",,"needle",,,"zhen1"
"noun",,"casting",,,"zhu4"
"noun",,"rust",,,"xiu4"
"noun",,"key",,,"yao4shi"
"noun",,"wood",,,"mu4"
"noun",,"woods",,,"lin2"
"noun",,"forest",,,"sen1"
"noun",,"tree",,,"shu4"
"noun",,"willow",,,"liu3"
"noun",,"desk",,,"zhuo1"
"noun",,"chair",,,"yi3"
"noun",,"frame",,,"kuang1"
"noun",,"bridge",,,"qiao2"
"noun",,"mask",,,"wei2gan1"
"noun",,"barrel",,,"tong3"
"noun",,"coffin",,,"guan1"
"noun",,"stick",,,"zhang4"
"noun",,"branch",,,"zhi1"
"noun",,"firewood",,,"chai2"
"noun",,"plate",,,"ban3"
"noun",,"shelf",,,"jia4"
"noun",,"chess",,,"qi1"
"adjective",,"rotten",,,"xiu3"
"noun",,"ladder",,,"ti1"
"noun",,"multi-storey building",,,"lou2"
"noun",,"bigriver",,,"jaing1"
"noun",,"river",,,"he2"
"noun",,"laike",,,"hu2"
"noun",,"sea",,,"hai3"
"noun",,"ocean",,,"yang2"
"noun",,"pond",,,"chi2"
"noun",,"sweat",,,"han4"
"noun",,"soup",,,"tang1"
"noun",,"mud",,,"ni2"
"noun",,"oil",,,"you2"
"noun",,"flow",,,"liu2"
"noun",,"wave",,,"lang4"
"verb",,"sink",,,"chen2"
"verb",,"float",,,"fu2"
"noun",,"harbour",,,"gang3"
"verb",,"swim",,,"you2yong3"
"noun",,"ice",,,"bing1"
"adjective",,"frozen",,,"dong4"
"adjective",,"cold",,,"leng3"
"adjective",,"cool",,,"liang2"
"verb",,"condense",,,"ning2"
"adjective",,"chilly",,,"lin3"
"noun",,"ice on tree",,,"song1"
"noun",,"coal",,,"mei2"
"noun",,"smoke",,,"yang1"
"noun",,"oven",,,"lu2"
"noun",,"bed",,,"kang4"
"noun",,"candle",,,"zhu2"
"noun",,"lamp",,,"deng1"
"noun",,"flame",,,"yang4"
